section_name	web_url	pub_date	snippet
World	https://www.nytimes.com/reuters/2018/07/03/world/europe/03reuters-usa-russia-trump-putin-preparations.html	2018-07-03T17:48:48+0000	Russian Foreign Minister Sergei Lavrov and U.S. Secretary of State Mike Pompeo discussed preparations on Tuesday for the summit in Helsinki between presidents Vladimir Putin and Donald Trump, the Russian Foreign Ministry said. 
World	https://www.nytimes.com/reuters/2018/07/03/world/europe/03reuters-bosnia-britain.html	2018-07-03T17:45:48+0000	Britain warned nationalist Bosnian Serb leader Milorad Dodik on Tuesday against "inventing fake threats" from Britain as part of his campaigning ahead of an October election, saying such rhetoric may damage relations with the United Kingdom.
World	https://www.nytimes.com/aponline/2018/07/03/world/americas/ap-lt-brazil-corruption.html	2018-07-03T17:45:01+0000	A Brazilian businessman famous for amassing and then losing a multi-billion-dollar fortune has been convicted of corruption and money laundering and sentenced to 30 years in prison.
World	https://www.nytimes.com/aponline/2018/07/03/world/europe/ap-thailand-cave-search-british-divers.html	2018-07-03T17:42:07+0000	When authorities in Thailand were assembling a group of rescuers to search for a soccer team lost in a flooded cave, one of their first calls went to a retired firefighter and an IT consultant in England.
World	https://www.nytimes.com/aponline/2018/07/03/world/americas/ap-lt-mexico-violence.html	2018-07-03T17:39:00+0000	Gunmen have killed the mayor of a town in western Mexico where three Italian men went missing in late January.
World	https://www.nytimes.com/reuters/2018/07/03/world/europe/03reuters-usa-utilities-heatwave.html	2018-07-03T17:37:05+0000	Utilities in the U.S. Northeast expect to have enough power to keep the lights on as homes and businesses crank up air conditioners to escape a heat wave, the region's power grid operators said on Tuesday.
World	https://www.nytimes.com/reuters/2018/07/03/world/americas/03reuters-usa-airforce-light-attack.html	2018-07-03T17:37:04+0000	The US Air Force canceled remaining flights that were a part of its Light Attack experiment after a recent fatal crash of an A-29, an Air Force official said on Tuesday.
World	https://www.nytimes.com/aponline/2018/07/03/world/europe/ap-eu-italy-political-funding.html	2018-07-03T17:36:11+0000	Italy's top court has upheld a prosecutor's request to seize over 48 million euros ($57 million) from a government coalition party's coffers.
World	https://www.nytimes.com/reuters/2018/07/03/world/europe/03reuters-germany-crime.html	2018-07-03T17:33:48+0000	An Iraqi man suspected of the rape and killing of a 14-year-old German girl is also under investigation for raping an 11-year-old German girl in a refugee shelter in the town of Wiesbaden, prosecutors said on Tuesday.
World	https://www.nytimes.com/reuters/2018/07/03/world/europe/03reuters-israel-russia-netanyahu.html	2018-07-03T17:30:58+0000	Israeli Prime Minister Benjamin Netanyahu will meet Russian President Vladimir Putin in Moscow next week, Netanyahu's office said in a brief statement on Tuesday. The meeting is set for Wednesday, July 11. 
